Jahr;Produktgruppe;Firmencode;Kategorie gemäss Anhang Erklärung von Mailand;Basis: Tierische Milch;Basis: Pflanzlich;Energiegehalt (kcal pro 100 g);Eiweiss (g pro 100 g);Fett (g pro 100 g);Kohlenhydrate (g pro 100 g);davon Zucker (g pro 100 g) gemäss Verpackung;Zucker zugesetzt (g pro 100 g) berechnet;Neu eingeführt seit 2018;Zielgruppe Kinder;Proteinangereichert;Laktosefrei;Bio
2024;Joghurt;I;Frucht;ja;nein;103.0;3.3;3.4;15.0;14.0;5.0;ja;nein;nein;nein;ja
2024;Joghurt;I;Aroma;ja;nein;101.0;3.5;3.5;14.0;13.0;6.0;ja;nein;nein;nein;ja
2024;Joghurt;I;Frucht;ja;nein;104.0;3.3;3.4;15.0;14.0;6.0;ja;nein;nein;nein;ja
2024;Joghurt;I;Aroma;ja;nein;133.0;4.2;5.4;16.0;14.0;8.6;ja;nein;nein;nein;nein
2024;Joghurt;I;Frucht;ja;nein;133.0;4.0;5.0;18.0;15.0;7.6;ja;nein;nein;nein;nein
2024;Joghurt;I;Müesli;ja;nein;109.0;8.9;3.0;11.2;9.2;5.6;ja;nein;nein;ja;nein
2024;Joghurt;I;Müesli;ja;nein;111.0;9.0;3.3;10.8;9.3;5.7;ja;nein;nein;nein;nein
2024;Joghurt;I;Müesli;ja;nein;109.0;8.8;2.8;11.8;9.4;5.8;ja;nein;nein;ja;nein
2024;Joghurt;I;Frucht;ja;nein;85.0;3.4;2.6;12.0;11.0;7.1;nein;ja;nein;nein;nein
2024;Joghurt;I;Frucht;ja;nein;89.0;3.7;2.8;11.0;11.0;6.4;ja;nein;nein;nein;nein
2024;Joghurt;I;Frucht;ja;nein;88.0;3.7;2.8;12.0;11.0;6.4;ja;nein;nein;nein;nein
2024;Joghurt;I;Aroma;ja;nein;114.0;0.7;7.0;11.0;7.7;7.5;ja;nein;nein;ja;ja
2024;Joghurt;I;Frucht;ja;nein;117.0;0.8;7.2;12.0;8.7;8.0;ja;nein;nein;ja;ja
2024;Joghurt;I;Frucht;ja;nein;81.0;3.3;1.4;13.0;12.0;6.8;ja;nein;nein;nein;nein
2024;Joghurt;I;Frucht;ja;nein;77.0;3.2;1.4;12.0;11.0;7.0;ja;nein;nein;nein;nein
2024;Joghurt;I;Frucht;ja;nein;80.0;3.3;1.4;13.0;12.0;7.6;ja;nein;nein;nein;nein
2024;Joghurt;I;Frucht;ja;nein;80.0;3.2;1.4;13.0;12.0;7.7;ja;nein;nein;nein;nein
2024;Joghurt;I;Frucht;ja;nein;82.0;3.3;1.4;13.0;12.0;7.7;ja;nein;nein;nein;nein
2024;Joghurt;I;Frucht;ja;nein;81.0;3.2;1.4;13.0;12.0;8.1;ja;nein;nein;nein;nein
2024;Joghurt;I;Aroma;ja;nein;82.0;3.4;1.4;13.0;12.0;8.5;ja;nein;nein;nein;nein
