Kanton,Fundort,Probenahme-Datum,Vogelart,Status Wildvogel,Ergebnis,Pathogenitaet,Subtyp
BE,Neuchâtel,2018-01-03,Cygne tuberculé,"Capturé vivant, blessé",negativ,,
ZH,Küsnacht ,2018-01-09,Höckerschwan,"Totfund, Einzeltier",negativ,,
BE,Wingreis,2018-01-15,Höckerschwan,keine Angabe,negativ,,
VD,Yverdon,2018-01-20,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
BE,Nidau,2018-01-22,Höckerschwan,"Totfund, Einzeltier",negativ,,
BE,Lüscherz,2018-01-28,Höckerschwan,keine Angabe,positiv,low pathogenic avian influenza (LPAI),
BS,Birsfelden,2018-01-30,Höckerschwan,"Totfund, mehrere Tiere an einem Ort",negativ,,
VD,Yverdon,2018-02-08,Grande aigrette,"Trouvé mort, animal isolé",negativ,,
BS,Rheinhafen Basel,2018-02-27,Höckerschwan ,"Totfund, mehrere Tiere an einem Ort",negativ,,
VD,Lausanne,2018-03-01,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
SH,"Schaffhausen, Kraftwerk",2018-03-05,Höckerschwan,"Totfund, Einzeltier",positiv,low pathogenic avian influenza (LPAI),
SH,"Schaffhausen, Kraftwerk",2018-03-05,Lachmöwe,"Totfund, Einzeltier",negativ,,
VD,Villeneuve,2018-03-12,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD,Villeneuve,2018-03-12,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD,Villeneuve,2018-03-12,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD,Grandson,2018-03-12,Buse variable ,"Trouvé mort, animal isolé",negativ,,
VD,Yverdon,2018-03-12,Cormoran,"Trouvé mort, animal isolé",negativ,,
GE,Barrage de Verbois,2018-03-12,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,Barrage de Verbois,2018-03-12,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,Genève,2018-03-12,Grèbe huppé,"Trouvé mort, animal isolé",negativ,,
GE,Barrage de Verbois,2018-03-12,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,Barrage de Verbois,2018-03-12,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,"Versoix,  Port-Choiseul",2018-03-12,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,"Versoix,  Port-Choiseul",2018-03-12,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,Barrage de Verbois,2018-03-12,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
GE,Barrage de Verbois,2018-03-12,Cormoran,"Trouvé mort, animal isolé",negativ,,
GE,Barrage de Verbois,2018-03-12,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
BE,Neuchâtel,2018-03-13,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
BE,Brügg,2018-03-14,Höckerschwan,"Totfund, Einzeltier",negativ,,
VD,Lausanne,2018-03-15,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD,Lausanne,2018-03-15,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD,Lausanne,2018-03-15,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD,Lausanne,2018-03-15,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD,Lausanne,2018-03-15,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
BE,Ipsach,2018-03-16,Höckerschwan,"Totfund, Einzeltier",negativ,,
BE,Nidau (am Nidau-Büren-Kanal),2018-03-17,Graugans,keine Angabe,negativ,,
VD,Yverdon-les-Bains,2018-04-02,Canard colvert,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD,Chevroux,2018-04-12,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
BE,Herrenschwand,2018-04-23,Höckerschwan,keine Angabe,negativ,,
VD,Cully,2018-05-10,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Perroy,2018-05-20,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Yverdon-les-Bains,2018-06-14,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Vidy,2018-06-19,Cygne tuberculé,"Capturé vivant, signes cliniques          ",negativ,,
BE,"Wohlen, Wohlensee",2018-07-02,Höckerschwan,"Totfund, Einzeltier",negativ,,
VD,Le Bouveret,2018-07-24,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
LU,Greppen,2018-09-12,Höckerschwan,"Totfund, Einzeltier",negativ,,
GE,Genf,2018-09-26,Mouette,"Trouvé mort, animal isolé",negativ,,
SH,"Schaffhausen, Kraftwerk",2018-11-12,Höckerschwan,"Totfund, Einzeltier",negativ,,
VD,Cugy,2018-11-24,Cygne tuberculé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD,Lausanne,2018-11-29,Héron cendré,"Trouvé mort, animal isolé",negativ,,
BE,"Walperswil, Nähe Aare Kanal",2019-01-23,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Villeneuve,2019-01-23,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Versvey,2019-02-04,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Yverdon-les-Bains,2019-02-12,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Yverdon-les-Bains,2019-02-12,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Yverdon-les-Bains,2019-02-12,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
BE,Meinisberg,2019-02-13,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Préverenges,2019-02-25,Pigeon biset domestique,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,Genève,2019-03-01,Cygne tuberculé,"Capturé vivant, signes cliniques          ",negativ,,
GE,Genève,2019-03-05,Pigeon biset domestique,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,Genève,2019-03-05,Pigeon biset domestique,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,Genève,2019-03-05,Pigeon biset domestique,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
FL,Gamprin,2019-03-07,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Port d’ Ouchy,2019-03-15,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Valeyres-sous-Montagny  ,2019-03-15,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,"Préverenges, Port du Bief",2019-03-16,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
BS,"Basel, Birsfelden ",2019-03-28,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Wohlensee,2019-04-15,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Grandson,2019-05-01,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Morges,2019-06-17,Cygne tuberculé,"Capturé vivant, animal blessé        ",negativ,,
BE,Wohlen,2019-06-23,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
BE,Wohlen,2019-06-23,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
BE,Wohlen,2019-06-23,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Luzern,2019-07-22,Mäusebussard,Totfund Einzeltier,negativ,,
VD,Morges,2019-07-24,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Founex,2019-08-29,Mouette ,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
VD,Nyon,2019-10-02,Pigeon biset domestique,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
BE,St-Imier,2019-10-10,Höckerschwan,Totfund Einzeltier,negativ,,
VD,St-Sulpice ,2019-10-29,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Lausanne,2019-12-15,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
GE,Genève,2020-01-23,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,Genève,2020-01-23,Cygne tuberculé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
GE,Genève,2020-01-23,Grèbe huppé,"Trouvé mort, plusieurs animaux sur un même site",negativ,,
BE,Hinterkappelen,2020-01-26,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Nidau,2020-01-26,Höckerschwan,Totfund Einzeltier,negativ,,
FL,Bendern,2020-01-30,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Erlach,2020-02-05,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2020-02-11,Krickente,Totfund Einzeltier,negativ,,
TG,Dissenhofen,2020-02-12,Strassentaube,Totfund Einzeltier,negativ,,
VD,Le Sentier ,2020-03-11,Höckerschwan,"Trouvé mort, animal isolé",negativ,,
BE,"Trieten, Brüttelemoos",2020-03-22,Höckerschwan,Totfund Einzeltier,negativ,,
BE,Nidau,2020-03-22,Höckerschwan,Totfund Einzeltier,negativ,,
AG,Murgenthal,2020-03-24,Stockente,Lebendfang klinisch krank,negativ,,
VD,Les Tuileries / Grandson,2020-03-30,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
VD,Yverdon-les-Bains,2020-04-01,Cygne tuberculé,"Trouvé mort, animal isolé",negativ,,
