Nr (abs);Milchproduktkategorie;Beschreibung;Proben-Nr. extern;Datum Probenahme;Bemerkung generell;Produktionsland;PFBA [µg/kg];PFPeA [µg/kg];PFHxA [µg/kg];PFHpA [µg/kg];PFOA [µg/kg];PFNA [µg/kg];PFDA [µg/kg];PFUnDA [µg/kg];PFDoDA [µg/kg];PFTrDA [µg/kg];PFTeDA [µg/kg];PFBS [µg/kg];PFPeS [µg/kg];total PFHxS [µg/kg];PFHpS [µg/kg];total PFOS [µg/kg];PFNS [µg/kg];PFDS [µg/kg];PFUnDS [µg/kg];PFDoDS [µg/kg];PFTrDS [µg/kg];HFPO-DA [µg/kg];DONA [µg/kg];9Cl-PF3ONS [µg/kg];11Cl-PF3OUnDS [µg/kg];4:2 FTS [µg/kg];8:2 FTS [µg/kg];10:2 FTS [µg/kg];FOSA [µg/kg];Capstone A [µg/kg];Capstone B [µg/kg];6:2 FTOH [µg/kg];8:2 FTOH [µg/kg]
20768;Hartkäse;Vollfett, aus Rohmilch;1;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20769;Hartkäse;Vollfett, aus Rohmilch;2;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20770;Hartkäse;Bio;3;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20771;Hartkäse;Vollfett, aus Rohmilch, bio;4;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20772;Hartkäse;Alp;5;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20773;Hartkäse;;6;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20774;Hartkäse;;7;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20775;Hartkäse;Alp;8;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20776;Halbhartkäse;;9;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20777;Halbhartkäse;Bio;10;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20778;Halbhartkäse;;11;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;0.11;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20779;Halbhartkäse;;12;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20780;Halbhartkäse;Demeter, bio;13;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20781;(Import) Extrahartkäse;Bio;14;15.03.2025;IT;Italien;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20782;Hartkäse;;15;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20783;Halbhartkäse;;16;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20784;Hartkäse;;17;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20785; Extrahartkäse (Import);;18;15.03.2025;IT;Italien;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20786;Halbhartkäse;;19;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20787;Halbhartkäse;;20;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20788;Halbhartkäse;;21;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20789;Halbhartkäse;Alp;22;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;0.08;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20790;Hartkäse;Bio;23;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20791;Hartkäse;;24;15.03.2025;CH;Schweiz;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20792;Extrahartkäse  (Import);;25;15.03.2025;IT;Italien;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20793;Extrahartkäse  (Import);;26;15.03.2025;IT;Italien;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
20794;Extrahartkäse  (Import);;27;15.03.2025;IT;Italien;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.5;<0.5;<2.5;<2.5
