Nr (abs);Milchproduktkategorie;Beschreibung;Proben-Nr. extern;Datum Probenahme;Bemerkung generell;Produktionsland;PFBA [µg/kg];PFPeA [µg/kg];PFHxA [µg/kg];PFHpA [µg/kg];PFOA [µg/kg];PFNA [µg/kg];PFDA [µg/kg];PFUnDA [µg/kg];PFDoDA [µg/kg];PFTrDA [µg/kg];PFTeDA [µg/kg];PFBS [µg/kg];PFPeS [µg/kg];total PFHxS [µg/kg];PFHpS [µg/kg];total PFOS [µg/kg];PFNS [µg/kg];PFDS [µg/kg];PFUnDS [µg/kg];PFDoDS [µg/kg];PFTrDS [µg/kg];HFPO-DA [µg/kg];DONA [µg/kg];9Cl-PF3ONS [µg/kg];11Cl-PF3OUnDS [µg/kg];4:2 FTS [µg/kg];8:2 FTS [µg/kg];10:2 FTS [µg/kg];FOSA [µg/kg];Capstone A [µg/kg];Capstone B [µg/kg];6:2 FTOH [µg/kg];8:2 FTOH [µg/kg]
20803;Joghurt;Jogurt nature, bio;36;15.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.019;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20804;Joghurt;Jogurt nature ;37;15.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20805;Joghurt;Joghurt nature;38;15.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;0.012;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20835;Milch Detailhandel;Vollmilch UHT, 3,5% Milchfett;68;14.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20836;Milch Detailhandel;Teilentrahmte Milch UHT, 2,5% Milchfett;69;14.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20837;Milch Detailhandel;Vollmilch UHT, 3,5% Milchfett;70;14.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20838;Milch Detailhandel;Teilentrahmte Milch UHT, 2,5% Milchfett;71;14.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20851;Milch Detailhandel;Vollmilch Past, 3,5% Fett;84;20.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20852;Joghurt;Joghurt nature, 4% Fett;85;20.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
20853;Joghurt;Joghurt nature, 3,5% Fett, laktosefrei;86;20.03.2025;CH;Schweiz;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.010;<0.10;<0.10;<0.50;<0.50
