ID,DE,FR,IT,EN
material1,Aprikosen,Abricots,Albicocche,Apricots
material2,Birnen,Poires,Pere,Pears
material3,Blumenkohl,Chou-fleur,Cavolfiore,Cauliflower
material4,Erdbeeren,Fraises,Fragole,Strawberries
material5,Gerste,Orge,Orzo,Barley
material6,Grüne Salate,Salades vertes,Insalate verdi,Leafy salads
material7,Hafer,Avoine,Avena,Oats
material8,Karotten,Carottes,Carote,Carrots
material9,Kartoffeln,Pommes de terre,Patate,Potatoes
material10,Kindernahrung,Aliments pour enfants,Alimenti per l'infanzia,Baby food
material11,Kirschen,Cerises,Ciliegie,Cherries
material12,Kopfkohle,Choux pommés,Cavoli cappucci,Head cabbages
material13,Kopfsalat,Laitue pommée,Lattuga cappuccio,Butterhead lettuce
material14,Kuhmilch,Lait de vache,Latte vaccino,Cow's milk
material15,Nektarinen,Nectarines,Nettarine,Nectarines
material16,Pflaumen,Prunes,Prugne,Plums
material17,Raps (Öl),Colza (huile),Colza (olio),Rapeseed oil
material18,Schweinefett,Graisse de porc,Grasso di maiale,Lard
material19,Sonnenblumen (Öl),Tournesol (huile),Girasole (olio),Sunflower oil
material20,Spinat,Épinards,Spinaci,Spinach
material21,Tomaten,Tomates,Pomodori,Tomatoes
material22,Wein,Vin,Vino,Wine
material23,Weisskohl,Chou blanc,Cavolo bianco,White cabbage
material24,Weizenmehl,Farine de blé,Farina di frumento,Wheat flour
material25,Zucchetti,Courgettes,Zucchine,Courgettes / zucchini
material26,Äpfel,Pommes,Mele,Apples
All,Alle,Tous,Tutti,All
