sampleID,testID,sampleDate,sampleMaterial,originCountry,testCode,assessment,parameterName,testValue,testUnit,referenceValueRHG,analysisYear,sampleNumber,productionMethod,foodEx2Code,sampleGroup
107-2021-00005691,107-2021-00005691_1,2021-01-27,material26,CHE,SP931,,Thiacloprid,0.011,mg/kg,0.3,2021,,,151020,group2
107-2021-00005691,107-2021-00005691_2,2021-01-27,material26,CHE,SP932,,Captan,0.068,mg/kg,,2021,,,151020,group2
107-2021-00005691,107-2021-00005691_3,2021-01-27,material26,CHE,SP932,,THPI (Tetrahydrophthalimide),0.12,mg/kg,,2021,,,151020,group2
107-2021-00005691,107-2021-00005691_4,2021-01-27,material26,CHE,SP932,,Captan (Sum),0.31,mg/kg,10.0,2021,,,151020,group2
107-2021-00005692,107-2021-00005692_1,2021-01-27,material26,CHE,S2002,,Dithianon,0.037,mg/kg,3.0,2021,,,,group2
107-2021-00005692,107-2021-00005692_2,2021-01-27,material26,CHE,SP931,,Methoxyfenozid,0.012,mg/kg,2.0,2021,,,,group2
107-2021-00005692,107-2021-00005692_3,2021-01-27,material26,CHE,SP932,,Captan,0.19,mg/kg,,2021,,,,group2
107-2021-00005692,107-2021-00005692_4,2021-01-27,material26,CHE,SP932,,Trifloxystrobin,0.018,mg/kg,0.7,2021,,,1011020,group2
107-2021-00005692,107-2021-00005692_5,2021-01-27,material26,CHE,SP932,,THPI (Tetrahydrophthalimide),0.37,mg/kg,,2021,,,1011020,group2
107-2021-00005692,107-2021-00005692_6,2021-01-27,material26,CHE,SP932,,Captan (Sum),0.93,mg/kg,10.0,2021,,,1011020,group2
107-2021-00005693,107-2021-00005693_1,2021-01-27,material26,CHE,S2002,,Dithianon,0.066,mg/kg,3.0,2021,,,,group2
107-2021-00005693,107-2021-00005693_2,2021-01-27,material26,CHE,SP931,,Pirimicarb,0.013,mg/kg,1.2,2021,,,,group2
107-2021-00005693,107-2021-00005693_3,2021-01-27,material26,CHE,SP931,,Triflumuron,0.025,mg/kg,0.5,2021,,,,group2
107-2021-00005693,107-2021-00005693_4,2021-01-27,material26,CHE,SP931,,Dodin,0.033,mg/kg,0.9,2021,,,,group2
107-2021-00005693,107-2021-00005693_5,2021-01-27,material26,CHE,SP931,,Thiacloprid,0.016,mg/kg,0.3,2021,,,,group2
107-2021-00005693,107-2021-00005693_6,2021-01-27,material26,CHE,SP931,,Acetamiprid,0.018,mg/kg,0.8,2021,,,,group2
107-2021-00005693,107-2021-00005693_7,2021-01-27,material26,CHE,SP931,,Fluxapyroxad,0.013,mg/kg,0.9,2021,,,1011020,group2
107-2021-00005693,107-2021-00005693_8,2021-01-27,material26,CHE,SP932,,Captan,0.023,mg/kg,,2021,,,1011020,group2
107-2021-00005693,107-2021-00005693_9,2021-01-27,material26,CHE,SP932,,THPI (Tetrahydrophthalimide),0.047,mg/kg,,2021,,,1011020,group2
107-2021-00005693,107-2021-00005693_10,2021-01-27,material26,CHE,SP932,,Captan (Sum),0.12,mg/kg,10.0,2021,,,152000,group2
