Year,Canton,Species,Type of Slaughter,Origin of animal,Fitness for consumption,Count
2014,AG,Cattle < 6We,Normal,Inland,Yes,83
2014,AG,Cattle < 6We,Sanitary,Inland,Yes,0
2014,AG,Cattle < 6We,Normal,Abroad,Yes,0
2014,AG,Cattle < 6We,Sanitary,Abroad,Yes,0
2014,AG,Cattle < 6We,Normal,Inland,No,4
2014,AG,Cattle < 6We,Sanitary,Inland,No,0
2014,AG,Cattle < 6We,Normal,Abroad,No,0
2014,AG,Cattle < 6We,Sanitary,Abroad,No,0
2014,AG,Cattle > 6We,Normal,Inland,Yes,8553
2014,AG,Cattle > 6We,Sanitary,Inland,Yes,301
2014,AG,Cattle > 6We,Normal,Abroad,Yes,0
2014,AG,Cattle > 6We,Sanitary,Abroad,Yes,0
2014,AG,Cattle > 6We,Normal,Inland,No,45
2014,AG,Cattle > 6We,Sanitary,Inland,No,29
2014,AG,Cattle > 6We,Normal,Abroad,No,0
2014,AG,Cattle > 6We,Sanitary,Abroad,No,0
2014,AG,Equidae,Normal,Inland,Yes,260
2014,AG,Equidae,Sanitary,Inland,Yes,4
2014,AG,Equidae,Normal,Abroad,Yes,0
2014,AG,Equidae,Sanitary,Abroad,Yes,0
2014,AG,Equidae,Normal,Inland,No,1
2014,AG,Equidae,Sanitary,Inland,No,1
2014,AG,Equidae,Normal,Abroad,No,0
2014,AG,Equidae,Sanitary,Abroad,No,0
2014,AG,Goats,Normal,Inland,Yes,809
2014,AG,Goats,Sanitary,Inland,Yes,1
2014,AG,Goats,Normal,Abroad,Yes,0
2014,AG,Goats,Sanitary,Abroad,Yes,0
2014,AG,Goats,Normal,Inland,No,1
2014,AG,Goats,Sanitary,Inland,No,0
2014,AG,Goats,Normal,Abroad,No,0
2014,AG,Goats,Sanitary,Abroad,No,0
2014,AG,Sheep,Normal,Inland,Yes,8902
2014,AG,Sheep,Sanitary,Inland,Yes,21
2014,AG,Sheep,Normal,Abroad,Yes,0
2014,AG,Sheep,Sanitary,Abroad,Yes,0
2014,AG,Sheep,Normal,Inland,No,12
2014,AG,Sheep,Sanitary,Inland,No,0
2014,AG,Sheep,Normal,Abroad,No,0
2014,AG,Sheep,Sanitary,Abroad,No,0
2014,AG,Swine,Normal,Inland,Yes,29918
2014,AG,Swine,Sanitary,Inland,Yes,189
2014,AG,Swine,Normal,Abroad,Yes,0
2014,AG,Swine,Sanitary,Abroad,Yes,0
2014,AG,Swine,Normal,Inland,No,33
2014,AG,Swine,Sanitary,Inland,No,12
2014,AG,Swine,Normal,Abroad,No,0
2014,AG,Swine,Sanitary,Abroad,No,0
2014,AI,Cattle < 6We,Normal,Inland,Yes,1
2014,AI,Cattle < 6We,Sanitary,Inland,Yes,1
2014,AI,Cattle < 6We,Normal,Abroad,Yes,0
2014,AI,Cattle < 6We,Sanitary,Abroad,Yes,0
2014,AI,Cattle < 6We,Normal,Inland,No,0
2014,AI,Cattle < 6We,Sanitary,Inland,No,1
2014,AI,Cattle < 6We,Normal,Abroad,No,0
2014,AI,Cattle < 6We,Sanitary,Abroad,No,0
2014,AI,Cattle > 6We,Normal,Inland,Yes,470
2014,AI,Cattle > 6We,Sanitary,Inland,Yes,105
2014,AI,Cattle > 6We,Normal,Abroad,Yes,0
2014,AI,Cattle > 6We,Sanitary,Abroad,Yes,0
2014,AI,Cattle > 6We,Normal,Inland,No,1
2014,AI,Cattle > 6We,Sanitary,Inland,No,3
2014,AI,Cattle > 6We,Normal,Abroad,No,0
2014,AI,Cattle > 6We,Sanitary,Abroad,No,0
2014,AI,Equidae,Normal,Inland,Yes,0
2014,AI,Equidae,Sanitary,Inland,Yes,1
2014,AI,Equidae,Normal,Abroad,Yes,0
2014,AI,Equidae,Sanitary,Abroad,Yes,0
2014,AI,Equidae,Normal,Inland,No,0
2014,AI,Equidae,Sanitary,Inland,No,0
2014,AI,Equidae,Normal,Abroad,No,0
2014,AI,Equidae,Sanitary,Abroad,No,0
2014,AI,Goats,Normal,Inland,Yes,396
2014,AI,Goats,Sanitary,Inland,Yes,0
2014,AI,Goats,Normal,Abroad,Yes,0
