Finanzierung_DE,Finanzierung_FR,Finanzierung_IT,Finanzierung_EN,Jahr,Betrag_CHF
Auftragsforschung (extramuros),Recherche contractuelle (extramuros),Ricerca a contratto (extramuros),Contract research (extramuros),2021,1942000
Auftragsforschung (extramuros),Recherche contractuelle (extramuros),Ricerca a contratto (extramuros),Contract research (extramuros),2022,2548000
Auftragsforschung (extramuros),Recherche contractuelle (extramuros),Ricerca a contratto (extramuros),Contract research (extramuros),2023,1838000
Auftragsforschung (extramuros),Recherche contractuelle (extramuros),Ricerca a contratto (extramuros),Contract research (extramuros),2024,0
Auftragsforschung (intramuros),Recherche contractuelle (intramuros),Ricerca a contratto (intramuros),Contract research (intramuros),2021,5905000
Auftragsforschung (intramuros),Recherche contractuelle (intramuros),Ricerca a contratto (intramuros),Contract research (intramuros),2022,1002000
Auftragsforschung (intramuros),Recherche contractuelle (intramuros),Ricerca a contratto (intramuros),Contract research (intramuros),2023,742000
Auftragsforschung (intramuros),Recherche contractuelle (intramuros),Ricerca a contratto (intramuros),Contract research (intramuros),2024,0
Beiträge,Contributions,Contributi,Contributions,2021,598000
Beiträge,Contributions,Contributi,Contributions,2022,611000
Beiträge,Contributions,Contributi,Contributions,2023,520000
Beiträge,Contributions,Contributi,Contributions,2024,0
