Year,Category,Class of active substances,Category of use,Critical active substance,Prescription type,Species,Amount of active ingredient (kg)
2021,All animals,All active substance classes,All categories of use,No,Dispensing on stock,All species,7173.3795
2021,All animals,All active substance classes,All categories of use,No,All prescription types,All species,22932.9904
2021,All animals,All active substance classes,All categories of use,No,Single treatments companion animals,All species,1958.4852
2021,All animals,All active substance classes,All categories of use,No,Single treatments farm animals,All species,5726.6288
2021,All animals,All active substance classes,All categories of use,No,Oral group treatments,All species,8074.4969
2021,All animals,Aminoglycosides,All categories of use,No,Dispensing on stock,All species,1040.4873
2021,All animals,Aminoglycosides,All categories of use,No,All prescription types,All species,1987.371
2021,All animals,Aminoglycosides,All categories of use,No,Single treatments companion animals,All species,43.0351
2021,All animals,Aminoglycosides,All categories of use,No,Single treatments farm animals,All species,903.7667
2021,All animals,Aminoglycosides,All categories of use,No,Oral group treatments,All species,0.0819
2021,All animals,Amphenicols,All categories of use,No,Dispensing on stock,All species,330.0264
2021,All animals,Amphenicols,All categories of use,No,All prescription types,All species,507.4227
2021,All animals,Amphenicols,All categories of use,No,Single treatments companion animals,All species,2.2232
2021,All animals,Amphenicols,All categories of use,No,Single treatments farm animals,All species,167.4381
2021,All animals,Amphenicols,All categories of use,No,Oral group treatments,All species,7.7349
2021,All animals,Others¹,All categories of use,No,Dispensing on stock,All species,90.4566
2021,All animals,Others¹,All categories of use,No,All prescription types,All species,457.9582
2021,All animals,Others¹,All categories of use,No,Single treatments companion animals,All species,183.4436
2021,All animals,Others¹,All categories of use,No,Single treatments farm animals,All species,77.698
2021,All animals,Others¹,All categories of use,No,Oral group treatments,All species,106.3599
2021,All animals,Cephalosporins 1st/2nd generation,All categories of use,No,Dispensing on stock,All species,21.3311
2021,All animals,Cephalosporins 1st/2nd generation,All categories of use,No,All prescription types,All species,203.3701
2021,All animals,Cephalosporins 1st/2nd generation,All categories of use,No,Single treatments companion animals,All species,132.0506
2021,All animals,Cephalosporins 1st/2nd generation,All categories of use,No,Single treatments farm animals,All species,49.9884
2021,All animals,Imidazoles,All categories of use,No,All prescription types,All species,108.923
2021,All animals,Imidazoles,All categories of use,No,Single treatments companion animals,All species,108.923
2021,All animals,Penicillins,All categories of use,No,Dispensing on stock,All species,2426.5551
2021,All animals,Penicillins,All categories of use,No,All prescription types,All species,8349.7233
2021,All animals,Penicillins,All categories of use,No,Single treatments companion animals,All species,550.0293
2021,All animals,Penicillins,All categories of use,No,Single treatments farm animals,All species,2939.0867
2021,All animals,Penicillins,All categories of use,No,Oral group treatments,All species,2434.0523
2021,All animals,Polymyxins,All categories of use,No,Dispensing on stock,All species,11.1898
2021,All animals,Polymyxins,All categories of use,No,All prescription types,All species,74.3965
2021,All animals,Polymyxins,All categories of use,No,Single treatments companion animals,All species,0.0045
2021,All animals,Polymyxins,All categories of use,No,Single treatments farm animals,All species,1.0216
2021,All animals,Polymyxins,All categories of use,No,Oral group treatments,All species,62.1807
2021,All animals,Sulfonamides,All categories of use,No,Dispensing on stock,All species,2633.4361
2021,All animals,Sulfonamides,All categories of use,No,All prescription types,All species,6556.367
2021,All animals,Sulfonamides,All categories of use,No,Single treatments companion animals,All species,873.9868
2021,All animals,Sulfonamides,All categories of use,No,Single treatments farm animals,All species,737.85
2021,All animals,Sulfonamides,All categories of use,No,Oral group treatments,All species,2311.0942
2021,All animals,Tetracyclines,All categories of use,No,Dispensing on stock,All species,619.897
2021,All animals,Tetracyclines,All categories of use,No,All prescription types,All species,4687.4585
2021,All animals,Tetracyclines,All categories of use,No,Single treatments companion animals,All species,64.7891
2021,All animals,Tetracyclines,All categories of use,No,Single treatments farm animals,All species,849.7793
2021,All animals,Tetracyclines,All categories of use,No,Oral group treatments,All species,3152.993
2021,All animals,All active substance classes,All categories of use,Yes,Dispensing on stock,All species,69.2922
2021,All animals,All active substance classes,All categories of use,Yes,All prescription types,All species,877.5378
2021,All animals,All active substance classes,All categories of use,Yes,Single treatments companion animals,All species,30.634
2021,All animals,All active substance classes,All categories of use,Yes,Single treatments farm animals,All species,207.6079
2021,All animals,All active substance classes,All categories of use,Yes,Oral group treatments,All species,570.0036
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,All categories of use,Yes,Dispensing on stock,All species,2.8772
