Category,Species,Prescription type,Category of use,Year,Animal treatments,Animal treatments with critical antibiotics,Animal treatments per 1000,Animal treatments with critical antibiotics per 1000,Total animal numbers across production cycles
Pets,Equids,All prescription types,Equids,2022,22603,1268,199.57,11.2,113257
Pets,Equids,All prescription types,Equids,2024,22688,1096,202.44,9.78,112072
Pets,Equids,All prescription types,Equids,2023,22602,1044,200.32,9.25,112831
Pets,Equids,All prescription types,Equids,2021,21758,1036,192.64,9.17,112945
Pets,Dogs,All prescription types,Dogs,2023,229216,23549,415.18,42.65,552085
Pets,Dogs,All prescription types,Dogs,2024,219634,21379,395.66,38.51,555114
Pets,Dogs,All prescription types,Dogs,2021,243045,30047,450.57,55.7,539414
Pets,Dogs,All prescription types,Dogs,2022,235775,27161,426.53,49.14,552781
Pets,Cats,All prescription types,Cats,2024,305410,84570,164.75,45.62,1853759
Pets,Cats,All prescription types,Cats,2023,313260,95802,168.99,51.68,1853759
Pets,Cats,All prescription types,Cats,2022,315366,100639,170.12,54.29,1853759
Pets,Cats,All prescription types,Cats,2021,332730,107979,186.09,60.39,1788036
Farm animals,Game animals,All prescription types,Game animals,2024,21,1,1.51,0.07,13891
Farm animals,Game animals,All prescription types,Game animals,2023,84,71,5.63,4.76,14909
Farm animals,Game animals,All prescription types,Game animals,2022,32,5,2.14,0.33,14928
Farm animals,Game animals,All prescription types,Game animals,2021,40,5,2.65,0.33,15103
Farm animals,Camelids,All prescription types,Camelids,2022,721,152,76.82,16.19,9386
Farm animals,Camelids,All prescription types,Camelids,2024,899,119,98.56,13.05,9121
Farm animals,Camelids,All prescription types,Camelids,2023,760,164,79.32,17.12,9581
Farm animals,Camelids,All prescription types,Camelids,2021,732,92,80.32,10.1,9113
Farm animals,Rabbits,All prescription types,Rabbits,2023,49705,2288,223.03,10.27,222865
Farm animals,Rabbits,All prescription types,Rabbits,2021,145478,11000,500.75,37.86,290520
Farm animals,Rabbits,All prescription types,Rabbits,2022,136502,2124,513.21,7.99,265975
Farm animals,Rabbits,All prescription types,Rabbits,2024,2855,438,14.48,2.22,197135
Farm animals,Sheep,All prescription types,Sheep,2021,15352,1338,35.93,3.13,427273
Farm animals,Sheep,All prescription types,Sheep,2023,20822,2041,45.9,4.5,453613
Farm animals,Sheep,All prescription types,Sheep,2022,15629,1364,35.89,3.13,435492
Farm animals,Sheep,All prescription types,Sheep,2024,21100,1412,48.17,3.22,438030
Farm animals,Goats,All prescription types,Goats,2024,11021,1311,95.28,11.33,115668
Farm animals,Goats,All prescription types,Goats,2022,14283,2480,129.08,22.41,110650
Farm animals,Goats,All prescription types,Goats,2021,11524,1749,105.41,16,109324
Farm animals,Goats,All prescription types,Goats,2023,12089,2048,103.39,17.52,116921
Farm animals,Poultry,All prescription types,Rearing laying hens and parent birds,2021,555227,290047,141.06,73.69,3936101
Farm animals,Poultry,All prescription types,Rearing laying hens and parent birds,2022,587510,300545,155.45,79.52,3779405
