Category,Critical active substance ,Prescription type,Category of use,Species,Year,Number of animal treatments
All animals,No,All prescription types,All categories of use,All species,2021,14824297
All animals,No,Single treatments companion animals,All categories of use,All species,2021,458469
All animals,No,Single treatments farm animals,All categories of use,All species,2021,634801
All animals,No,Oral group treatments,All categories of use,All species,2021,13731027
All animals,Yes,All prescription types,All categories of use,All species,2021,6738499
All animals,Yes,Single treatments companion animals,All categories of use,All species,2021,139063
All animals,Yes,Single treatments farm animals,All categories of use,All species,2021,96855
All animals,Yes,Oral group treatments,All categories of use,All species,2021,6502581
All animals,All types of active ingredients,All prescription types,All categories of use,All species,2021,21562796
All animals,All types of active ingredients,Single treatments companion animals,All categories of use,All species,2021,597532
All animals,All types of active ingredients,Single treatments farm animals,All categories of use,All species,2021,731656
All animals,All types of active ingredients,Oral group treatments,All categories of use,All species,2021,20233608
All animals,No,All prescription types,Rearing laying hens and parent birds,All species,2021,265180
All animals,No,Single treatments farm animals,Rearing laying hens and parent birds,All species,2021,1
All animals,No,Oral group treatments,Rearing laying hens and parent birds,All species,2021,265179
All animals,Yes,All prescription types,Rearing laying hens and parent birds,All species,2021,290047
All animals,Yes,Single treatments farm animals,Rearing laying hens and parent birds,All species,2021,3
All animals,Yes,Oral group treatments,Rearing laying hens and parent birds,All species,2021,290044
All animals,All types of active ingredients,All prescription types,Rearing laying hens and parent birds,All species,2021,555227
All animals,All types of active ingredients,Single treatments farm animals,Rearing laying hens and parent birds,All species,2021,4
All animals,All types of active ingredients,Oral group treatments,Rearing laying hens and parent birds,All species,2021,555223
All animals,No,All prescription types,Rearing calves,All species,2021,49253
All animals,No,Single treatments farm animals,Rearing calves,All species,2021,42827
All animals,No,Oral group treatments,Rearing calves,All species,2021,6426
All animals,Yes,All prescription types,Rearing calves,All species,2021,13739
All animals,Yes,Single treatments farm animals,Rearing calves,All species,2021,10743
All animals,Yes,Oral group treatments,Rearing calves,All species,2021,2996
All animals,All types of active ingredients,All prescription types,Rearing calves,All species,2021,62992
All animals,All types of active ingredients,Single treatments farm animals,Rearing calves,All species,2021,53570
All animals,All types of active ingredients,Oral group treatments,Rearing calves,All species,2021,9422
All animals,No,All prescription types,Rearing cattle,All species,2021,17338
All animals,No,Single treatments farm animals,Rearing cattle,All species,2021,16317
All animals,No,Oral group treatments,Rearing cattle,All species,2021,1021
All animals,Yes,All prescription types,Rearing cattle,All species,2021,2545
All animals,Yes,Single treatments farm animals,Rearing cattle,All species,2021,1929
All animals,Yes,Oral group treatments,Rearing cattle,All species,2021,616
All animals,All types of active ingredients,All prescription types,Rearing cattle,All species,2021,19883
All animals,All types of active ingredients,Single treatments farm animals,Rearing cattle,All species,2021,18246
All animals,All types of active ingredients,Oral group treatments,Rearing cattle,All species,2021,1637
All animals,No,All prescription types,Equids,All species,2021,20722
All animals,No,Single treatments companion animals,Equids,All species,2021,20722
All animals,Yes,All prescription types,Equids,All species,2021,1036
All animals,Yes,Single treatments companion animals,Equids,All species,2021,1036
All animals,All types of active ingredients,All prescription types,Equids,All species,2021,21758
All animals,All types of active ingredients,Single treatments companion animals,Equids,All species,2021,21758
All animals,No,All prescription types,Fish,All species,2021,7574594
All animals,No,Oral group treatments,Fish,All species,2021,7574594
All animals,All types of active ingredients,All prescription types,Fish,All species,2021,7574594
All animals,All types of active ingredients,Oral group treatments,Fish,All species,2021,7574594
All animals,No,All prescription types,Poultry nCU,All species,2021,112
All animals,No,Single treatments farm animals,Poultry nCU,All species,2021,12
All animals,No,Oral group treatments,Poultry nCU,All species,2021,100
All animals,Yes,All prescription types,Poultry nCU,All species,2021,2421
All animals,Yes,Single treatments farm animals,Poultry nCU,All species,2021,13
All animals,Yes,Oral group treatments,Poultry nCU,All species,2021,2408
All animals,All types of active ingredients,All prescription types,Poultry nCU,All species,2021,2533
All animals,All types of active ingredients,Single treatments farm animals,Poultry nCU,All species,2021,25
All animals,All types of active ingredients,Oral group treatments,Poultry nCU,All species,2021,2508
All animals,No,All prescription types,Game animals,All species,2021,35
All animals,No,Single treatments farm animals,Game animals,All species,2021,35
All animals,Yes,All prescription types,Game animals,All species,2021,5
All animals,Yes,Single treatments farm animals,Game animals,All species,2021,5
All animals,All types of active ingredients,All prescription types,Game animals,All species,2021,40
All animals,All types of active ingredients,Single treatments farm animals,Game animals,All species,2021,40
All animals,No,All prescription types,Dogs,All species,2021,212998
All animals,No,Single treatments companion animals,Dogs,All species,2021,212998
All animals,Yes,All prescription types,Dogs,All species,2021,30048
All animals,Yes,Single treatments companion animals,Dogs,All species,2021,30048
All animals,All types of active ingredients,All prescription types,Dogs,All species,2021,243046
All animals,All types of active ingredients,Single treatments companion animals,Dogs,All species,2021,243046
All animals,No,All prescription types,Young sows,All species,2021,1058
All animals,No,Single treatments farm animals,Young sows,All species,2021,64
