Month,Species,Category,Prescription type,Monthly prescriptions
01.2021,Fish,All animals,Dispensing on stock,2
01.2021,Goats,Farm animals,Dispensing on stock,135
01.2021,Cattle,Farm animals,Dispensing on stock,13253
01.2021,Cattle,All animals,Dispensing on stock,13253
01.2021,Fish,Farm animals,Dispensing on stock,2
01.2021,Rabbits,All animals,Dispensing on stock,23
01.2021,Sheep,Farm animals,Dispensing on stock,331
01.2021,Animal species nZO,Farm animals,Dispensing on stock,3638
01.2021,Sheep,All animals,Dispensing on stock,331
01.2021,All species,Farm animals,Dispensing on stock,19011
01.2021,Poultry,Farm animals,Dispensing on stock,3
01.2021,All species,All animals,Dispensing on stock,19011
01.2021,Pigs,Farm animals,Dispensing on stock,1626
01.2021,Goats,All animals,Dispensing on stock,135
01.2021,Poultry,All animals,Dispensing on stock,3
01.2021,Animal species nZO,All animals,Dispensing on stock,3638
01.2021,Rabbits,Farm animals,Dispensing on stock,23
01.2021,Pigs,All animals,Dispensing on stock,1626
01.2021,Pigs,Farm animals,All prescription types,2315
01.2021,Equids,Pets,All prescription types,1653
01.2021,Animal species nZO,Farm animals,All prescription types,3638
01.2021,All species,All animals,All prescription types,131645
01.2021,Dogs,Pets,All prescription types,19105
01.2021,Sheep,Farm animals,All prescription types,1739
01.2021,Cattle,All animals,All prescription types,71975
01.2021,Pigs,All animals,All prescription types,2315
01.2021,Animal species nZO,Pets,All prescription types,2722
01.2021,Fish,All animals,All prescription types,4
01.2021,All species,Pets,All prescription types,50821
01.2021,Goats,Farm animals,All prescription types,958
01.2021,Equids,All animals,All prescription types,1653
01.2021,Cats,Pets,All prescription types,27341
01.2021,Poultry,All animals,All prescription types,105
01.2021,Animal species nZO,All animals,All prescription types,6360
01.2021,Rabbits,All animals,All prescription types,32
01.2021,Cattle,Farm animals,All prescription types,71975
01.2021,Rabbits,Farm animals,All prescription types,32
01.2021,Camelids,Farm animals,All prescription types,52
01.2021,Cats,All animals,All prescription types,27341
01.2021,Game animals,All animals,All prescription types,6
01.2021,Goats,All animals,All prescription types,958
01.2021,Sheep,All animals,All prescription types,1739
01.2021,Game animals,Farm animals,All prescription types,6
01.2021,Poultry,Farm animals,All prescription types,105
01.2021,Dogs,All animals,All prescription types,19105
01.2021,Fish,Farm animals,All prescription types,4
01.2021,Camelids,All animals,All prescription types,52
01.2021,All species,Farm animals,All prescription types,80824
01.2021,All species,Pets,Single treatments companion animals,50821
01.2021,Animal species nZO,Pets,Single treatments companion animals,2722
01.2021,Cats,All animals,Single treatments companion animals,27341
01.2021,Dogs,All animals,Single treatments companion animals,19105
01.2021,Animal species nZO,All animals,Single treatments companion animals,2722
01.2021,Equids,Pets,Single treatments companion animals,1653
01.2021,Dogs,Pets,Single treatments companion animals,19105
01.2021,Equids,All animals,Single treatments companion animals,1653
01.2021,All species,All animals,Single treatments companion animals,50821
01.2021,Cats,Pets,Single treatments companion animals,27341
01.2021,Camelids,All animals,Single treatments farm animals,52
01.2021,Game animals,Farm animals,Single treatments farm animals,6
01.2021,Sheep,All animals,Single treatments farm animals,1407
01.2021,Goats,All animals,Single treatments farm animals,818
01.2021,All species,Farm animals,Single treatments farm animals,60837
01.2021,Game animals,All animals,Single treatments farm animals,6
01.2021,Camelids,Farm animals,Single treatments farm animals,52
01.2021,Poultry,All animals,Single treatments farm animals,4
01.2021,Cattle,All animals,Single treatments farm animals,58043
01.2021,Rabbits,Farm animals,Single treatments farm animals,6
01.2021,Rabbits,All animals,Single treatments farm animals,6
01.2021,Cattle,Farm animals,Single treatments farm animals,58043
01.2021,Pigs,All animals,Single treatments farm animals,501
01.2021,All species,All animals,Single treatments farm animals,60837
01.2021,Goats,Farm animals,Single treatments farm animals,818
01.2021,Pigs,Farm animals,Single treatments farm animals,501
01.2021,Sheep,Farm animals,Single treatments farm animals,1407
01.2021,Poultry,Farm animals,Single treatments farm animals,4
01.2021,Goats,Farm animals,Oral group treatments,5
01.2021,Fish,All animals,Oral group treatments,2
