Category,Species,Critical active substance ,Category of use,System,Year,Number of animal treatments
Farm animals,Rabbits,No,Rabbits,Mammary gland,2021,6
Farm animals,Rabbits,No,Rabbits,Parasites,2021,1030
Farm animals,Rabbits,No,Rabbits,"Metabolism, digestion",2021,130728
Farm animals,Rabbits,No,Rabbits,"Animal husbandry, prophylaxis",2021,735
Farm animals,Rabbits,Yes,Rabbits,All Organ Systems,2021,11000
Farm animals,Rabbits,Yes,Rabbits,Parasites,2021,3
Farm animals,Rabbits,Yes,Rabbits,"Metabolism, digestion",2021,10800
Farm animals,Rabbits,Yes,Rabbits,"Animal husbandry, prophylaxis",2021,1
Farm animals,Rabbits,All types of active ingredients,Rabbits,All Organ Systems,2021,145478
Farm animals,Rabbits,All types of active ingredients,Rabbits,Mammary gland,2021,6
Farm animals,Rabbits,All types of active ingredients,Rabbits,Parasites,2021,1033
Farm animals,Rabbits,All types of active ingredients,Rabbits,"Metabolism, digestion",2021,141528
Farm animals,Rabbits,All types of active ingredients,Rabbits,"Animal husbandry, prophylaxis",2021,736
Farm animals,Cattle,No,All categories of use,All Organ Systems,2021,822073
Farm animals,Cattle,No,All categories of use,Udder,2021,261022
Farm animals,Cattle,No,All categories of use,Calf diseases,2021,130816
Farm animals,Cattle,No,All categories of use,Parasites,2021,135
Farm animals,Cattle,No,All categories of use,"Metabolism, digestion",2021,30113
Farm animals,Cattle,No,All categories of use,"Animal husbandry, prophylaxis",2021,17531
Farm animals,Cattle,Yes,All categories of use,All Organ Systems,2021,148470
Farm animals,Cattle,Yes,All categories of use,Udder,2021,21665
Farm animals,Cattle,Yes,All categories of use,Calf diseases,2021,32352
Farm animals,Cattle,Yes,All categories of use,Parasites,2021,5
Farm animals,Cattle,Yes,All categories of use,"Metabolism, digestion",2021,3062
Farm animals,Cattle,Yes,All categories of use,"Animal husbandry, prophylaxis",2021,66
Farm animals,Cattle,All types of active ingredients,All categories of use,All Organ Systems,2021,970543
Farm animals,Cattle,All types of active ingredients,All categories of use,Udder,2021,282687
Farm animals,Cattle,All types of active ingredients,All categories of use,Calf diseases,2021,163168
Farm animals,Cattle,All types of active ingredients,All categories of use,Parasites,2021,140
Farm animals,Cattle,All types of active ingredients,All categories of use,"Metabolism, digestion",2021,33175
Farm animals,Cattle,All types of active ingredients,All categories of use,"Animal husbandry, prophylaxis",2021,17597
Farm animals,Cattle,No,Rearing calves,All Organ Systems,2021,48942
Farm animals,Cattle,No,Rearing calves,Udder,2021,439
Farm animals,Cattle,No,Rearing calves,Calf diseases,2021,28608
Farm animals,Cattle,No,Rearing calves,Parasites,2021,46
Farm animals,Cattle,No,Rearing calves,"Metabolism, digestion",2021,2657
