Year,Species,Class of active substances,Critical active substance,Amount of active ingredient (kg)
2019,Pet,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,16.44
2017,Livestock,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,206.64
2020,Livestock,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,162.76
2019,Livestock,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,168.66
2021,Pet,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,17.02
2017,Species,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,227.89
2020,Species,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,177.91
2022,Species,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,147.19
2021,Livestock,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,169.02
2023,Pet,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,12.06
2024,Species,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,134.85
2022,Pet,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,13.48
2017,Pet,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,21.25
2015,Pet,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,22.67
2018,Pet,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,18.68
2023,Species,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,149.93
2018,Livestock,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,184.31
2016,Pet,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,21.52
2024,Pet,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,10.96
2015,Livestock,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,384.33
2020,Pet,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,15.15
2015,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,173.13
2021,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,59.41
2024,Species,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,44.66
2023,Pet,Cephalosporins 3rd/4th generation ᶜʳⁱᵗ,All types of active ingredients,5.44
2024,Livestock,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,123.89
2022,Livestock,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,133.71
2016,Species,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,303.7
2023,Livestock,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,137.87
2019,Species,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,185.1
2018,Species,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,202.99
2016,Livestock,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,282.18
2015,Species,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,407
2024,Pet,Macrolides ᶜʳⁱᵗ,All types of active ingredients,10.87
2023,Species,Macrolides ᶜʳⁱᵗ,All types of active ingredients,654.26
2021,Pet,Macrolides ᶜʳⁱᵗ,All types of active ingredients,17.53
2016,Livestock,Macrolides ᶜʳⁱᵗ,All types of active ingredients,1967.04
2024,Species,Macrolides ᶜʳⁱᵗ,All types of active ingredients,504.06
2021,Species,Macrolides ᶜʳⁱᵗ,All types of active ingredients,843.56
2020,Pet,Macrolides ᶜʳⁱᵗ,All types of active ingredients,15.81
2019,Livestock,Macrolides ᶜʳⁱᵗ,All types of active ingredients,1164.28
2015,Pet,Macrolides ᶜʳⁱᵗ,All types of active ingredients,21.76
2017,Pet,Macrolides ᶜʳⁱᵗ,All types of active ingredients,19.96
2021,Livestock,Penicillins,All types of active ingredients,9431.16
2016,Species,Macrolides ᶜʳⁱᵗ,All types of active ingredients,1987.83
2022,Livestock,Macrolides ᶜʳⁱᵗ,All types of active ingredients,531.42
2021,Livestock,Macrolides ᶜʳⁱᵗ,All types of active ingredients,826.03
2016,Pet,Macrolides ᶜʳⁱᵗ,All types of active ingredients,20.79
2018,Species,Macrolides ᶜʳⁱᵗ,All types of active ingredients,1482.23
2015,Species,Macrolides ᶜʳⁱᵗ,All types of active ingredients,2632.2
2020,Livestock,Macrolides ᶜʳⁱᵗ,All types of active ingredients,1056.04
2022,Pet,Macrolides ᶜʳⁱᵗ,All types of active ingredients,15.12
2017,Species,Macrolides ᶜʳⁱᵗ,All types of active ingredients,1593.73
2018,Pet,Macrolides ᶜʳⁱᵗ,All types of active ingredients,18.99
2021,Species,Fluoroquinolones ᶜʳⁱᵗ,All types of active ingredients,186.04
2023,Livestock,Macrolides ᶜʳⁱᵗ,All types of active ingredients,641.81
2022,Species,Macrolides ᶜʳⁱᵗ,All types of active ingredients,546.54
2020,Species,Macrolides ᶜʳⁱᵗ,All types of active ingredients,1071.85
2019,Pet,Macrolides ᶜʳⁱᵗ,All types of active ingredients,18.58
2023,Pet,Macrolides ᶜʳⁱᵗ,All types of active ingredients,12.45
2018,Livestock,Macrolides ᶜʳⁱᵗ,All types of active ingredients,1463.24
2019,Species,Macrolides ᶜʳⁱᵗ,All types of active ingredients,1182.86
2015,Livestock,Macrolides ᶜʳⁱᵗ,All types of active ingredients,2610.44
2017,Livestock,Macrolides ᶜʳⁱᵗ,All types of active ingredients,1573.77
2024,Livestock,Macrolides ᶜʳⁱᵗ,All types of active ingredients,493.19
2015,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,322.33
2017,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,278.93
2022,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,230.3
2024,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,136.54
2018,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,73.28
2019,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,77.65
2024,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,120.41
2019,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,249.06
2021,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,161.56
2022,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,86.34
2015,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,254.86
2020,Pet,Cephalosporins 1st/2nd generation,All types of active ingredients,178
2023,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,108.88
2020,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,77.31
2016,Species,Cephalosporins 1st/2nd generation,All types of active ingredients,298.14
2021,Livestock,Cephalosporins 1st/2nd generation,All types of active ingredients,85.15
2016,Species,Other¹,All types of active ingredients,181.9
2018,Species,Other¹,All types of active ingredients,151.58
2019,Pet,Other¹,All types of active ingredients,47.41
2022,Pet,Other¹,All types of active ingredients,127.62
2024,Livestock,Other¹,All types of active ingredients,35.09
